Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Projects_Score,Participation_Score,Total_Score,Study_Hours_per_Week,Sleep_Hours_per_Night,Stress_Level (1-10),class
0.947189438,0.010168361,0.326830082,0.473894779,0.063412683,0.2568,0.734,0.208689691,0.212,0.38,0,0
0.954190838,0.287881314,0.566783392,0.484696939,0.964792959,0.9646,0.88,0.703873948,0.884,0.06,0.333333333,1
0.99039808,0.030671779,0.397532099,0.717143429,0,0.8244,0.047,0.384697513,0.296,0.42,0.888888889,0
0.807561512,0.094182364,0.073870268,0.362072414,0.325465093,0.1096,0.042,0.02363479,0.82,0.18,0.777777778,0
0.188037608,0.218869812,0.362848091,0.353270654,0.679735947,0.7486,0.643,0.467548523,0.332,0.1,0.555555556,0
0.211842368,0.503583931,0.408037352,0.75715143,0.045209042,0.353,0.548,0.393081514,0.812,0.32,0.555555556,0
0.340068014,0.847641274,0.895947974,0.780156031,0.083416683,0.7502,0.155,0.725013767,0.684,0,0.111111111,1
0.318063613,0.862143691,0.324495581,0.014402881,0.076615323,0.8008,0.548,0.466773059,0.468,0.76,0.444444444,0
0.956591318,0.616269378,0.379189595,0.143828766,0.581716343,0.1514,0.974,0.342968566,0.524,0.16,0.888888889,0
0.788957792,0.928321387,0.783058196,0.213042609,0.896179236,0.6618,0.631,0.722721091,0.176,0.62,0.777777778,1
0.723944789,0.500083347,0.75921294,0.351670334,0.555511102,0.8628,0.449,0.660470448,0.116,0.84,0.333333333,1
0.185837167,0.889148191,0.79856595,0.291458292,0.603720744,0.3234,0.828,0.60842446,0.716,0.92,0.666666667,1
0.909581916,0.454075679,0.954143739,0.668733747,0.346069214,0.0804,0.213,0.456444779,0.848,0.56,0.888888889,0
0.827765553,0.277212869,0.795731199,0.828365673,0.018803761,0.0272,0.414,0.362074197,0.72,0.78,0.444444444,0
0.163432687,0.916486081,0.407703852,0.192038408,0.021604321,0.11,0.528,0.294406545,0.912,0.46,0.111111111,0
0.871174235,0.388064677,0.821744205,0.563112623,0.888577716,0.0042,0.505,0.448757572,0.892,0.5,0.111111111,0
0.272054411,0.503417236,0.508754377,0.367873575,0.102620524,0.327,0.921,0.400982254,0.78,0.54,0.777777778,0
0.080616123,0.328888148,0.277638819,0.50590118,1,0.2994,0.293,0.332010924,0.9,0.68,0.777777778,0
0.656731346,0.662943824,0.302984826,0.620924185,0.164432887,0.1104,0.057,0.243372032,0.168,0.66,0.777777778,0
